,theme,number of places
0,"Great Food, No Bull",189 Places
1,Trending This Week,30 Places
2,Az Atık Çok Kahve,23 Places
3,UNICEF (Yüz yüze) Dostu Mekanlar,68 Places
4,Most delicious way to stay at home,25 Places
5,Great Breakfasts,59 Places
6,Turkish Taverns,37 Places
7,International Cuisine,42 Places
8,House of Cellar,45 Places
9,Secret Gardens,26 Places
10,Happy BDay Foodie!,21 Places
11,Her Zaman Baş Tacı: Ev Yemekleri,25 Places
12,Kickass Burgers,39 Places
13,En iyi bar ve publar,22 Places
14,Great Coffee,32 Places
15,Cocktail Bars,19 Places
16,Sweet O'Clock,42 Places
17,Kebab Places,37 Places
18,Gourmet Street Foods,14 Places
19,Celebrity Chefs,19 Places
20,Live Sports Screenings,25 Places
21,Rooftops,31 Places
22,Pet-friendly,22 Places
23,Döner,26 Places
24,Healthy Bowls,21 Places
25,Best Pizza Places In Town,22 Places
26,Far East,32 Places
27,Most Romantic Restaurants,13 Places
28,Mamma Mia!,17 Places
29,Seafood Restaurants,29 Places
30,Carnivorous,16 Places
31,Seaside and Bosphorus,19 Places
32,Luxury Dining,16 Places
33,Century-Old Tastes of Istanbul,18 Places
